tolerance,val_loss,stopped_epoch,converged_early
0.001,8.451803142374212,57,True
0.0001,8.427452889355747,146,True
1e-05,8.42212690006603,313,True
1e-06,8.421006072651256,522,True
1e-07,8.42084778438915,621,True
1e-08,8.42083367434415,634,True
1e-09,8.42083367434415,634,True
1e-10,8.42083367434415,634,True
